feature,importance
product_purchase_count_last_30_days,0.021064143270959956
previous_business_line_purchase_share,0.018930872587503478
historical_product_unique_customer_count,0.012433052079208085
previous_paid_quantity,0.008215620004339674
average_days_between_customer_product_purchases,0.006812905258159252
product_id,0.0068094195684520464
previous_paid_purchase_count,0.0066201962917216695
previous_category_purchase_share,0.006505461846998184
historical_product_purchase_count,0.006395560564413039
days_since_last_paid_purchase,0.0060640265399688476
observed_reorder_interval_count,0.005279452565077947
expected_days_before_next_order,0.002535254128109121
previous_category_purchase_count,0.002513725035066805
business_line,0.001893738822237312
last_paid_quantity,0.001476627594492852
previous_business_line_purchase_count,0.0011549367408179578
std_days_between_customer_product_purchases,0.0009471293743861242
product_category,0.0007641811018993527
